id,Recencia,Monetizacao,Frequencia,R,F,M,Score_RFM,Segmento_RFM,Segmento de cliente,Marketing Action
6787,1015,156.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6788,590,300.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6789,922,1200.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6790,178,150.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6791,1635,310.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6792,1538,2300.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6793,87,250.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6794,474,3500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6795,1969,90.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6796,1747,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6797,2179,250.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6798,1209,210.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6799,297,1200.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6800,722,98.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6801,1810,1500.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6802,802,245.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6803,571,1500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6804,469,2800.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6805,1324,30.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6806,1325,34.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6807,1494,1980.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6808,1108,37.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6809,443,1210.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6810,1500,60.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6811,1981,30.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6812,81,78.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6813,175,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6814,864,145.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6815,976,2900.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6816,38,2500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6817,501,450.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6818,755,30.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6819,898,89.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6820,654,140.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6821,705,3099.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6822,1875,85.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6823,1605,145.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6824,829,500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6825,54,2100.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6826,372,2200.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6827,1374,140.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6828,948,600.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6829,1258,156.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6830,717,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6831,478,1100.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6832,340,800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6833,2070,500.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6834,976,30.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6835,1574,1800.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6836,922,1980.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6837,172,1100.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6838,1754,30.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6839,1021,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6840,1776,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6841,452,99.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6842,325,290.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6843,487,2500.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6844,549,310.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6845,1333,130.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6846,1716,1300.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6847,1384,4300.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6848,1357,1300.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6849,1486,78.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6850,1754,1210.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6851,1912,98.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6852,1420,1300.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6853,588,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6854,1661,156.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6855,1163,700.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6856,2113,310.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6857,390,2800.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6858,534,1099.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6859,1260,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6860,1051,120.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6861,830,1500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6862,0,230.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6863,1043,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6864,81,32.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6865,204,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6866,543,1000.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6867,1571,2300.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6868,1995,2800.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6869,590,1900.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6870,1688,290.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6871,877,2750.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6872,1151,120.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6873,368,56.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6874,463,1200.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6875,373,800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6876,1378,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6877,1775,40.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6878,1028,2900.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6879,1416,300.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6880,1543,2300.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6881,2009,1100.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6882,1370,1100.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6883,338,24.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6884,1684,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6885,1570,3500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6886,1941,3500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6887,755,1210.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6888,2027,189.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6889,102,250.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6890,342,89.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6891,914,90.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6892,893,600.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6893,1235,2800.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6894,1350,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6895,62,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6896,1331,1300.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6897,2029,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6898,359,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6899,948,150.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6900,2058,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6901,1323,145.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6902,583,3199.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6903,24,45.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6904,399,85.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6905,1476,300.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6906,1948,87.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6907,2185,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6908,902,1300.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6909,1695,320.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6910,1683,240.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6911,1496,3099.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6912,2104,56.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6913,2011,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6914,229,199.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6915,691,600.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6916,538,199.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6917,977,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6918,55,1900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6919,1840,146.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6920,889,5400.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6921,1196,120.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6922,2001,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6923,294,1800.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6924,465,1400.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6925,1561,176.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6926,11,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6927,1781,2300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6928,123,1980.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6929,1394,89.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6930,290,59.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6931,2081,800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6932,1782,300.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6933,2169,3500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6934,1897,87.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6935,32,2750.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6936,2169,2300.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6937,924,430.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6938,55,1600.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6939,336,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6940,1861,146.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
6941,327,5400.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6942,839,1800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6943,1851,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6944,1175,24.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6945,1605,85.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6946,2033,550.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6947,1566,2100.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
6948,1059,500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6949,808,500.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6950,1827,3600.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6951,925,240.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6952,626,1200.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
6953,705,130.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6954,1773,600.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6955,2141,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6956,1236,450.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6957,1882,100.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6958,70,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6959,159,3100.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6960,1385,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6961,1038,140.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6962,161,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6963,495,350.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6964,1971,650.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6965,764,230.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6966,775,3100.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6967,1712,56.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6968,1517,560.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6969,300,145.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6970,734,134.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
6971,1795,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6972,1278,1400.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6973,2122,1400.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6974,1046,90.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6975,1764,1800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
6976,1443,50.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6977,1348,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6978,286,109.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6979,1309,1300.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
6980,1415,145.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6981,138,450.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6982,1230,300.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6983,917,45.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
6984,408,290.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
6985,1670,99.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6986,456,1000.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6987,1391,45.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6988,519,3100.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
6989,186,550.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6990,890,3100.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6991,461,500.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
6992,1908,90.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
6993,2032,4800.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6994,1086,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
6995,382,38.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
6996,1317,85.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
6997,1227,140.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
6998,1964,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
6999,325,145.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7000,309,2300.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
7001,591,300.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7002,601,45.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
7003,1380,78.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7004,795,2100.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7005,1410,300.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7006,475,245.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7007,1744,1900.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
7008,1845,90.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
7009,1132,134.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7010,1164,2750.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7011,38,156.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7012,1218,70.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7013,2177,799.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7014,905,2000.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7015,368,78.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7016,1483,2500.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7017,1848,250.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7018,1738,1300.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7019,1833,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7020,387,1200.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7021,1446,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7022,461,2200.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
7023,1389,250.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7024,1785,109.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
7025,123,146.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7026,594,85.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
7027,1780,146.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7028,860,2500.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7029,1701,1800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7030,1933,180.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7031,1249,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7032,1372,760.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
7033,1448,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
7034,344,37.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7035,642,1300.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7036,1222,145.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7037,1378,199.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7038,1564,160.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7039,32,1300.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7040,388,32.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7041,26,45.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7042,1887,1200.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7043,1413,145.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7044,1872,550.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7045,294,290.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7046,864,250.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7047,872,1870.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7048,1722,2500.0,1,1,2,4,7,124,clientes leais,Promoções direcionadas
7049,1205,600.0,1,2,2,3,7,223,clientes leais,Promoções direcionadas
7050,1775,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7051,1425,40.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7052,1299,350.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7053,1775,250.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7054,1510,78.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7055,805,800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7056,1664,800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7057,671,450.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7058,1677,145.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7059,1872,198.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7060,674,98.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
7061,2131,120.0,1,1,2,2,5,122,Clientes que precisam de atenção,Promoções direcionadas
7062,54,1200.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7063,421,87.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7064,1013,650.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7065,1125,3199.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7066,270,700.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7067,1077,120.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7068,510,3200.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
7069,1529,89.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7070,988,430.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7071,8,1900.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
7072,1701,45.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
7073,262,290.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7074,1640,310.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7075,206,1980.0,1,4,2,4,10,424,Clientes leais que compram com frequência,Incentivos não relacionados a preços; Oferecer edição limitada e programas de fidelidade
7076,723,156.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7077,2004,45.0,1,1,2,1,4,121,Clientes quase perdidos,Promoções direcionadas
7078,700,156.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7079,1606,80.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7080,1118,34.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7081,1197,78.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7082,292,300.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7083,438,250.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7084,470,650.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7085,1424,50.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7086,198,90.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7087,140,450.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7088,1444,1900.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7089,92,120.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7090,894,1800.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7091,397,40.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7092,1273,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7093,1874,1210.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7094,199,87.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7095,95,500.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7096,1675,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7097,782,2300.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7098,227,140.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7099,620,99.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
7100,1102,198.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7101,1238,99.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7102,1562,146.0,1,2,2,2,6,222,clientes leais,Promoções direcionadas
7103,630,240.0,1,3,2,2,7,322,clientes leais,Promoções direcionadas
7104,1423,2800.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7105,281,1600.0,1,4,2,3,9,423,clientes leais,Promoções direcionadas
7106,1889,450.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7107,1901,1800.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7108,732,1400.0,1,3,2,3,8,323,clientes leais,Promoções direcionadas
7109,110,156.0,1,4,2,2,8,422,clientes leais,Promoções direcionadas
7110,251,80.0,1,4,2,1,7,421,clientes leais,Promoções direcionadas
7111,1206,1900.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7112,1241,89.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7113,920,1900.0,1,3,2,4,9,324,Clientes leais que compram com frequência,Promoções direcionadas
7114,1392,90.0,1,2,2,1,5,221,Clientes que precisam de atenção,Promoções direcionadas
7115,2064,1150.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7116,1759,430.0,1,1,2,3,6,123,clientes leais,Promoções direcionadas
7117,1181,2800.0,1,2,2,4,8,224,Clientes leais que compram com frequência,Promoções direcionadas
7118,582,80.0,1,3,2,1,6,321,clientes leais,Promoções direcionadas
